time;gFx;gFy;gFz;TgF
0,004000;-0,0346;0,0460;0,9816;0,983
0,005000;-0,0324;0,0425;0,9848;0,986
0,005000;-0,0335;0,0425;0,9807;0,982
0,006000;-0,0342;0,0371;0,9874;0,989
0,006000;-0,0310;0,0321;0,9920;0,993
0,015000;-0,0324;0,0342;0,9903;0,991
0,016000;-0,0325;0,0315;0,9930;0,994
0,027000;-0,0314;0,0288;0,9910;0,992
0,028000;-0,0332;0,0357;0,9896;0,991
0,045000;-0,0332;0,0370;0,9875;0,989
0,046000;-0,0346;0,0382;0,9877;0,989
0,047000;-0,0336;0,0405;0,9910;0,992
0,047000;-0,0306;0,0397;0,9918;0,993
0,050000;-0,0326;0,0385;0,9956;0,997
0,054000;-0,0331;0,0377;0,9943;0,996
0,062000;-0,0317;0,0413;0,9901;0,991
0,064000;-0,0325;0,0410;0,9870;0,988
0,069000;-0,0333;0,0437;0,9833;0,985
0,074000;-0,0341;0,0448;0,9855;0,987
0,079000;-0,0309;0,0453;0,9825;0,984
0,084000;-0,0316;0,0431;0,9860;0,987
0,089000;-0,0314;0,0399;0,9849;0,986
0,105000;-0,0341;0,0390;0,9863;0,988
0,106000;-0,0346;0,0391;0,9879;0,989
0,106000;-0,0302;0,0405;0,9926;0,994
0,111000;-0,0316;0,0393;0,9903;0,992
0,121000;-0,0314;0,0402;0,9921;0,993
0,121000;-0,0369;0,0405;0,9880;0,990
0,124000;-0,0338;0,0390;0,9877;0,989
0,130000;-0,0348;0,0368;0,9881;0,989
0,135000;-0,0332;0,0374;0,9887;0,990
0,139000;-0,0333;0,0368;0,9843;0,986
0,145000;-0,0325;0,0359;0,9885;0,990
0,150000;-0,0330;0,0361;0,9877;0,989
0,154000;-0,0327;0,0361;0,9879;0,989
0,159000;-0,0322;0,0313;0,9901;0,991
0,164000;-0,0338;0,0284;0,9910;0,992
0,168000;-0,0342;0,0292;0,9909;0,992
0,173000;-0,0359;0,0321;0,9914;0,993
0,178000;-0,0322;0,0303;0,9937;0,995
0,183000;-0,0331;0,0288;0,9963;0,997
