time;gFx;gFy;gFz;TgF
0,004000;-0,0056;0,0361;0,9904;0,991
0,005000;-0,0080;0,0388;0,9904;0,991
0,006000;-0,0049;0,0390;0,9932;0,994
0,006000;-0,0029;0,0397;0,9890;0,990
0,015000;-0,0039;0,0399;0,9815;0,982
0,016000;-0,0025;0,0436;0,9797;0,981
0,021000;-0,0040;0,0420;0,9833;0,984
0,026000;-0,0038;0,0397;0,9869;0,988
0,031000;-0,0035;0,0396;0,9904;0,991
0,036000;-0,0043;0,0405;0,9896;0,990
0,042000;-0,0055;0,0410;0,9844;0,985
0,046000;-0,0029;0,0381;0,9826;0,983
0,050000;-0,0056;0,0370;0,9886;0,989
0,056000;-0,0056;0,0328;0,9906;0,991
0,061000;-0,0063;0,0346;0,9912;0,992
0,066000;-0,0072;0,0358;0,9899;0,991
0,070000;-0,0057;0,0354;0,9934;0,994
0,087000;-0,0068;0,0358;0,9958;0,996
0,088000;-0,0099;0,0349;0,9915;0,992
0,089000;-0,0088;0,0321;0,9887;0,989
0,093000;-0,0074;0,0363;0,9870;0,988
0,103000;-0,0061;0,0377;0,9819;0,983
0,103000;-0,0065;0,0365;0,9840;0,985
0,106000;-0,0063;0,0381;0,9835;0,984
0,111000;-0,0058;0,0381;0,9848;0,986
0,116000;-0,0061;0,0391;0,9895;0,990
0,121000;-0,0057;0,0415;0,9941;0,995
0,126000;-0,0051;0,0433;0,9932;0,994
0,131000;-0,0063;0,0396;0,9934;0,994
0,135000;-0,0039;0,0427;0,9903;0,991
0,140000;-0,0044;0,0409;0,9829;0,984
0,153000;-0,0055;0,0398;0,9873;0,988
0,154000;-0,0024;0,0418;0,9888;0,990
0,154000;-0,0032;0,0429;0,9876;0,989
0,160000;-0,0056;0,0421;0,9888;0,990
0,165000;-0,0061;0,0438;0,9837;0,985
0,169000;-0,0066;0,0416;0,9808;0,982
0,187000;-0,0066;0,0405;0,9870;0,988
0,188000;-0,0089;0,0363;0,9888;0,990
0,188000;-0,0093;0,0381;0,9913;0,992
0,192000;-0,0066;0,0364;0,9896;0,990
0,196000;-0,0061;0,0359;0,9887;0,989
0,201000;-0,0061;0,0365;0,9846;0,985
0,204000;-0,0078;0,0336;0,9891;0,990
0,209000;-0,0072;0,0325;0,9884;0,989
0,214000;-0,0082;0,0317;0,9950;0,995
0,220000;-0,0063;0,0342;0,9956;0,996
0,225000;-0,0069;0,0375;0,9935;0,994
0,230000;-0,0034;0,0393;0,9921;0,993
0,235000;-0,0063;0,0392;0,9882;0,989
