time;gFx;gFy;gFz;TgF
0,005000;-0,0123;0,0381;0,9623;0,963
0,006000;-0,0146;0,0386;0,9607;0,962
0,007000;-0,0132;0,0376;0,9744;0,975
0,007000;-0,0129;0,0342;0,9918;0,992
0,014000;-0,0109;0,0336;1,0047;1,005
0,015000;-0,0133;0,0310;1,0119;1,012
0,019000;-0,0144;0,0317;1,0108;1,011
0,026000;-0,0153;0,0314;0,9989;0,999
0,029000;-0,0145;0,0310;0,9772;0,978
0,034000;-0,0167;0,0326;0,9645;0,965
0,039000;-0,0139;0,0317;0,9620;0,963
0,044000;-0,0134;0,0315;0,9737;0,974
0,049000;-0,0140;0,0292;0,9936;0,994
0,055000;-0,0160;0,0311;1,0063;1,007
0,059000;-0,0140;0,0327;1,0129;1,014
0,064000;-0,0127;0,0333;1,0090;1,010
0,069000;-0,0117;0,0313;0,9947;0,995
0,074000;-0,0155;0,0331;0,9759;0,977
0,079000;-0,0142;0,0338;0,9662;0,967
0,098000;-0,0139;0,0306;0,9678;0,968
0,099000;-0,0154;0,0313;0,9827;0,983
0,099000;-0,0150;0,0341;0,9931;0,994
0,100000;-0,0167;0,0325;1,0031;1,004
0,104000;-0,0137;0,0344;1,0118;1,012
0,115000;-0,0134;0,0348;1,0025;1,003
0,116000;-0,0110;0,0363;0,9935;0,994
0,119000;-0,0134;0,0371;0,9787;0,980
0,128000;-0,0129;0,0352;0,9697;0,970
0,129000;-0,0127;0,0368;0,9667;0,968
0,134000;-0,0142;0,0353;0,9791;0,980
0,139000;-0,0171;0,0342;0,9918;0,993
0,143000;-0,0155;0,0342;1,0048;1,006
0,148000;-0,0144;0,0375;1,0147;1,016
0,153000;-0,0166;0,0342;1,0012;1,002
0,158000;-0,0138;0,0354;0,9896;0,990
0,163000;-0,0138;0,0374;0,9765;0,977
0,169000;-0,0165;0,0363;0,9664;0,967
0,173000;-0,0150;0,0402;0,9705;0,971
0,177000;-0,0131;0,0392;0,9796;0,980
0,182000;-0,0128;0,0397;0,9931;0,994
0,198000;-0,0089;0,0371;1,0067;1,007
0,198000;-0,0110;0,0403;1,0072;1,008
0,199000;-0,0123;0,0396;1,0031;1,004
0,204000;-0,0148;0,0398;0,9893;0,990
0,214000;-0,0148;0,0381;0,9728;0,974
0,215000;-0,0167;0,0353;0,9664;0,967
0,219000;-0,0165;0,0365;0,9702;0,971
0,229000;-0,0156;0,0353;0,9831;0,984
0,230000;-0,0154;0,0333;0,9982;0,999
0,232000;-0,0153;0,0360;1,0058;1,007
0,240000;-0,0159;0,0361;1,0086;1,009
0,242000;-0,0133;0,0413;1,0009;1,002
0,248000;-0,0144;0,0391;0,9866;0,988
0,254000;-0,0159;0,0352;0,9774;0,978
0,258000;-0,0102;0,0365;0,9711;0,972
0,262000;-0,0143;0,0336;0,9725;0,973
0,267000;-0,0137;0,0343;0,9820;0,983
0,272000;-0,0137;0,0326;0,9925;0,993
0,278000;-0,0113;0,0316;1,0022;1,003
0,282000;-0,0160;0,0330;1,0064;1,007
0,297000;-0,0155;0,0333;0,9995;1,000
0,299000;-0,0113;0,0324;0,9898;0,990
0,299000;-0,0129;0,0325;0,9755;0,976
0,302000;-0,0148;0,0304;0,9687;0,969
0,312000;-0,0140;0,0311;0,9713;0,972
0,314000;-0,0120;0,0357;0,9840;0,985
0,317000;-0,0166;0,0363;0,9995;1,000
0,329000;-0,0151;0,0324;1,0022;1,003
0,330000;-0,0170;0,0310;1,0077;1,008
0,332000;-0,0161;0,0325;1,0012;1,002
0,339000;-0,0171;0,0325;0,9880;0,989
0,342000;-0,0154;0,0341;0,9778;0,979
0,347000;-0,0124;0,0338;0,9737;0,974
0,353000;-0,0115;0,0353;0,9754;0,976
0,364000;-0,0123;0,0348;0,9847;0,985
0,365000;-0,0115;0,0365;0,9952;0,996
0,366000;-0,0123;0,0360;1,0015;1,002
0,372000;-0,0131;0,0322;1,0028;1,003
0,377000;-0,0157;0,0336;0,9965;0,997
0,381000;-0,0186;0,0371;0,9866;0,988
0,401000;-0,0153;0,0360;0,9748;0,976
0,403000;-0,0148;0,0341;0,9742;0,975
0,404000;-0,0143;0,0359;0,9763;0,977
0,404000;-0,0137;0,0347;0,9840;0,985
0,406000;-0,0139;0,0314;0,9953;0,996
0,412000;-0,0102;0,0331;1,0035;1,004
0,416000;-0,0142;0,0372;1,0055;1,006
0,422000;-0,0121;0,0350;0,9979;0,999
0,427000;-0,0107;0,0310;0,9837;0,984
0,431000;-0,0148;0,0336;0,9746;0,975
0,441000;-0,0154;0,0337;0,9774;0,978
0,443000;-0,0161;0,0337;0,9793;0,980
0,447000;-0,0155;0,0346;0,9873;0,988
0,451000;-0,0182;0,0338;0,9971;0,998
0,456000;-0,0157;0,0331;1,0023;1,003
0,461000;-0,0137;0,0375;1,0014;1,002
0,465000;-0,0129;0,0342;0,9991;1,000
0,481000;-0,0122;0,0326;0,9843;0,985
0,482000;-0,0118;0,0360;0,9739;0,975
0,483000;-0,0139;0,0360;0,9697;0,970
0,488000;-0,0143;0,0381;0,9777;0,979
0,492000;-0,0138;0,0365;0,9864;0,987
0,496000;-0,0140;0,0402;0,9950;0,996
0,500000;-0,0142;0,0407;1,0000;1,001
0,509000;-0,0148;0,0392;0,9981;0,999
0,511000;-0,0134;0,0431;0,9951;0,996
0,516000;-0,0134;0,0432;0,9865;0,988
0,523000;-0,0118;0,0398;0,9794;0,980
