time;ax;ay;az;aT
0,0030;0,3565;-0,0826;0,3457;0,503
0,0040;0,3066;0,0012;0,3573;0,471
0,0040;0,3314;0,0217;0,3946;0,516
0,0050;0,3069;-0,0414;0,4157;0,518
0,0080;0,2193;-0,0455;0,3945;0,454
0,0130;0,0758;-0,0219;0,3337;0,343
0,0270;-0,1298;0,0152;0,3013;0,328
0,0280;-0,3430;0,0273;0,2602;0,431
0,0290;-0,4534;0,0396;0,2295;0,510
0,0640;-0,4879;0,0221;0,1575;0,513
0,0650;-0,4600;0,0095;0,0992;0,471
0,0660;-0,4309;0,0459;0,0747;0,440
0,0660;-0,3523;0,0932;0,0028;0,364
0,0660;-0,2633;0,1333;-0,0341;0,297
0,0670;-0,2332;0,1662;-0,0754;0,296
0,0670;-0,1946;0,1633;-0,1119;0,278
0,0680;-0,1271;0,1507;-0,2286;0,302
0,0740;-0,0938;0,1499;-0,3495;0,392
0,0770;-0,1497;0,1764;-0,4367;0,494
0,0850;-0,1958;0,1546;-0,4918;0,551
0,0870;-0,2069;0,2042;-0,4864;0,567
0,0920;-0,1929;0,2030;-0,4183;0,503
0,0970;-0,0880;0,1510;-0,2732;0,324
0,1020;0,0072;0,1967;-0,1664;0,258
0,1070;-0,0913;0,1821;-0,1243;0,239
0,1110;-0,1054;0,1257;0,0310;0,167
0,1270;-0,1097;0,1255;0,1546;0,227
0,1280;-0,1153;0,1754;0,1579;0,263
0,1280;-0,1238;0,1976;0,2004;0,307
0,1330;-0,1939;0,1576;0,2501;0,354
0,1410;-0,2193;0,1345;0,3467;0,432
0,1420;-0,2345;0,0973;0,4379;0,506
0,1470;-0,2577;0,0412;0,4355;0,508
0,1760;-0,2126;-0,0158;0,4189;0,470
0,1770;-0,1890;-0,0592;0,4277;0,471
0,1780;-0,1401;-0,0520;0,3830;0,411
0,1790;-0,0863;-0,0098;0,3060;0,318
0,1790;-0,0714;0,1030;0,2480;0,278
0,1800;0,0336;0,1501;0,1742;0,232
0,1880;0,1685;0,0633;0,0719;0,194
0,1890;0,3085;-0,0235;-0,0807;0,320
0,1910;0,4087;-0,0504;-0,2062;0,461
0,1960;0,4286;-0,0141;-0,2928;0,519
0,2030;0,4340;-0,0103;-0,3132;0,535
0,2060;0,3734;0,0255;-0,3466;0,510
0,2120;0,2694;0,0050;-0,3212;0,419
0,2190;0,2017;-0,0158;-0,2176;0,297
0,2200;0,0871;-0,0533;-0,1122;0,152
0,2260;-0,0252;-0,0142;-0,0282;0,040
0,2310;-0,1011;0,0034;0,1328;0,167
0,2460;-0,1575;-0,0231;0,3016;0,341
0,2460;-0,2055;-0,0540;0,3892;0,443
0,2470;-0,2296;-0,1095;0,4189;0,490
0,2960;-0,2190;-0,1274;0,4221;0,492
0,2970;-0,2094;-0,1292;0,4325;0,498
0,2980;-0,2024;-0,0851;0,3484;0,412
0,2990;-0,1843;-0,0381;0,2223;0,291
0,2990;-0,1251;0,0068;0,0814;0,149
0,3000;-0,0244;0,0425;-0,0927;0,105
0,3000;0,0393;0,0866;-0,3223;0,336
0,3010;0,0340;0,1079;-0,5746;0,586
0,3010;0,0869;0,1696;-0,7068;0,732
0,3020;0,1070;0,1843;-0,8092;0,837
0,3020;0,0896;0,1734;-0,8753;0,897
0,3090;0,1162;0,1405;-0,8910;0,909
0,3100;0,0720;0,1632;-0,8601;0,878
0,3210;0,0060;0,1292;-0,7273;0,739
0,3220;0,0140;0,1139;-0,5896;0,601
0,3240;0,0491;0,1149;-0,4444;0,462
0,3290;0,0691;0,0976;-0,3306;0,352
0,3450;0,0823;0,0693;-0,1834;0,213
0,3460;0,0680;0,0912;-0,0766;0,137
0,3460;0,0980;0,1021;0,0286;0,144
