espaco (m);skate1(s);;skate2 (s);;skate3 (s);;skate4 (s);;skate5 (s);
4m;04.10;04.10;04.85;04.20;04.00;04.35;03.90;04.33;03.90;03.95
8m;05.09;06.08;06.73;06.10;05.90;06.92;05.90;06.13;06.03;05.70
