time;ax;ay;az;aT
0,0020;0,1652;0,2431;0,0483;0,298
0,0030;0,1029;0,3034;0,0880;0,332
0,0030;0,0709;0,2884;0,1330;0,325
0,0060;0,1335;0,2841;0,1285;0,339
0,0140;0,0683;0,2847;0,0830;0,304
0,0160;-0,0181;0,3212;0,0599;0,327
0,0200;-0,0651;0,3481;0,0830;0,364
0,0350;-0,1100;0,3307;0,0732;0,356
0,0360;-0,1470;0,3396;0,1071;0,385
0,0360;-0,2120;0,3736;0,1335;0,450
0,0690;-0,2009;0,4337;0,1297;0,495
0,0700;-0,2035;0,4495;0,0840;0,501
0,0700;-0,2150;0,4713;0,0488;0,520
0,0710;-0,1983;0,4858;0,0326;0,526
0,0710;-0,1462;0,5469;0,0256;0,567
0,0720;-0,0670;0,5613;-0,0021;0,565
0,0720;-0,0071;0,5697;-0,0235;0,570
0,0760;0,0448;0,6332;-0,0218;0,635
0,0830;0,0196;0,6620;-0,0461;0,664
0,0840;0,0287;0,6323;-0,0617;0,636
0,0890;0,0697;0,6553;-0,0895;0,665
0,0940;0,0850;0,6006;-0,0962;0,614
0,0990;0,0745;0,5138;-0,1439;0,539
0,1040;0,0465;0,5049;-0,2304;0,557
0,1110;0,0245;0,4445;-0,2721;0,522
0,1140;0,0348;0,4236;-0,2104;0,474
0,1190;-0,0064;0,4577;-0,1100;0,471
0,1240;-0,0595;0,5432;-0,0773;0,552
0,1290;-0,0969;0,6381;-0,0032;0,645
0,1340;-0,0958;0,6958;0,0716;0,706
0,1380;-0,1220;0,7081;0,2073;0,748
0,1550;-0,0808;0,7276;0,2760;0,782
0,1560;-0,0402;0,7949;0,3306;0,862
0,1560;-0,0039;0,7547;0,4265;0,867
0,1610;0,0509;0,8054;0,4132;0,907
0,1720;0,0355;0,7450;0,3984;0,846
0,1730;0,0014;0,7553;0,3595;0,836
0,1740;0,0082;0,7561;0,3802;0,846
0,2020;-0,0517;0,6935;0,3071;0,760
0,2030;-0,0865;0,6742;0,1651;0,699
0,2030;-0,1165;0,6883;0,0760;0,702
0,2040;-0,1035;0,6725;0,0334;0,681
0,2040;-0,0258;0,6997;-0,0682;0,704
0,2050;-0,0089;0,7963;-0,1011;0,803
0,2110;-0,0526;0,8832;-0,1611;0,899
0,2130;-0,0730;0,8959;-0,1527;0,912
0,2180;-0,1012;0,9301;-0,1262;0,944
0,2230;-0,0800;0,8770;-0,1353;0,891
0,2370;-0,0548;0,8335;-0,1199;0,844
0,2380;0,0290;0,7961;-0,0618;0,799
0,2380;0,0949;0,7694;-0,0195;0,776
0,2440;0,2025;0,6867;-0,0536;0,718
0,2470;0,2239;0,6853;-0,1221;0,731
0,2600;0,2658;0,7222;-0,2967;0,825
0,2610;0,3776;0,8058;-0,5124;1,027
0,2780;0,4499;0,9587;-0,6846;1,261
0,2790;0,7156;1,3089;-0,6868;1,642
0,2790;0,8945;1,1831;-0,5233;1,573
0,2800;0,5762;0,5864;-0,9779;1,278
0,2870;0,1745;0,0919;-1,3319;1,346
0,2880;-0,0885;-0,1799;-1,5191;1,532
0,2920;-0,0856;-0,1669;-1,5192;1,531
0,2970;0,1271;0,1533;-1,2222;1,238
0,3020;0,1572;0,4886;-0,9759;1,103
0,3060;0,0203;0,6562;-0,7252;0,978
0,3120;-0,0383;0,6156;-0,5552;0,830
0,3170;-0,0750;0,4736;-0,2952;0,563
0,3210;-0,1535;0,4023;0,2663;0,506
0,3390;-0,1559;0,3026;0,5390;0,637
0,3400;-0,1386;0,1109;0,1954;0,264
0,3400;-0,2260;-0,0529;-0,0437;0,236
0,3410;-0,2761;-0,1579;-0,0279;0,319
0,3530;-0,3646;-0,2509;-0,0864;0,451
0,3540;-0,4389;-0,3069;-0,0711;0,540
0,3590;-0,5337;-0,3318;-0,0446;0,630
0,3770;-0,5592;-0,3197;-0,0037;0,644
0,3780;-0,6411;-0,2540;0,0510;0,691
0,3790;-0,6620;-0,1359;0,0402;0,677
0,3790;-0,6322;-0,0528;0,0176;0,635
0,3810;-0,6523;-0,0153;-0,0849;0,658
0,3860;-0,6254;-0,0258;-0,3201;0,703
0,3900;-0,2016;-0,0160;-0,0743;0,215
0,3960;0,0391;-0,0220;0,5999;0,602
0,4000;0,0034;-0,0196;0,7542;0,754
0,4050;-0,0122;0,1038;0,1745;0,203
0,4110;0,0356;0,2223;-0,3147;0,387
0,4150;0,1191;0,3409;-0,2269;0,426
0,4200;0,2165;0,5049;0,1204;0,562
0,4260;0,3076;0,5780;0,4265;0,781
0,4300;0,4407;0,6320;0,8657;1,159
0,4350;0,6582;0,5309;1,3828;1,621
0,4400;1,5181;0,2258;2,3555;2,811
0,4580;2,3662;-0,0398;3,0056;3,825
0,4610;1,3399;-0,2625;0,8331;1,599
0,4620;0,3699;-0,3733;-0,9684;1,102
0,4620;-1,1630;0,4413;-0,8143;1,487
0,5060;-2,5137;1,2386;0,6629;2,880
0,5070;-2,0095;0,9973;1,5212;2,710
0,5080;-0,7644;0,5748;1,5715;1,840
0,5080;0,4426;0,1596;1,3633;1,442
0,5090;1,5179;-0,4224;0,7775;1,757
0,5100;2,2353;-1,0820;-0,0770;2,485
0,5110;2,7385;-2,1954;-0,9885;3,646
0,5120;1,9716;-2,5569;-1,3139;3,486
0,5130;0,6340;-0,9722;-1,0782;1,584
0,5130;-0,0595;0,6776;-0,7405;1,005
0,5170;-0,0858;2,1364;-0,5405;2,205
0,5190;0,3322;2,9371;-0,5308;3,003
0,5240;0,7369;2,7795;-0,6754;2,954
0,5390;0,9225;1,9435;-0,9992;2,372
0,5400;0,8914;1,1285;-1,4137;2,017
0,5410;0,6687;0,6319;-1,9008;2,112
0,5450;0,3228;0,4172;-2,2221;2,284
0,5760;0,0119;0,3760;-2,4470;2,476
0,5780;-0,2535;0,4385;-2,4001;2,453
0,5790;-0,4107;0,4596;-2,1788;2,264
0,5800;-0,4731;0,4656;-1,9352;2,046
0,5800;-0,4102;0,3717;-1,6273;1,719
0,5810;-0,2883;0,3001;-1,0574;1,136
0,5810;-0,2229;0,3361;0,4725;0,621
0,5830;0,0776;-0,0139;0,8159;0,820
0,5880;0,0522;-0,1071;0,4905;0,505
0,5950;-0,0085;-0,3718;-0,0575;0,376
0,5980;0,3413;-0,4985;-0,7108;0,933
0,6030;0,8900;-0,7930;-0,6534;1,359
0,6080;0,6070;-0,8049;-0,6160;1,181
0,6130;0,6021;-0,1351;-0,7888;1,001
0,6180;0,8915;0,3394;-1,7389;1,983
0,6230;1,1795;1,0495;-2,0125;2,558
0,6420;0,8334;1,5003;-2,2682;2,844
0,6430;0,8855;1,6584;-2,6080;3,215
0,6440;0,5445;1,7000;-2,2677;2,886
0,6450;0,2316;1,6849;-2,2492;2,820
0,6850;0,0684;1,6451;-1,8733;2,494
0,6860;-0,0064;1,3950;-1,2919;1,901
0,6870;0,1079;1,0826;-0,2766;1,123
0,6870;0,4019;0,7122;0,2907;0,868
