time;gFx;gFy;gFz;TgF
0,003000;-0,0164;0,0402;0,9826;0,984
0,004000;-0,0144;0,0433;0,9857;0,987
0,004000;-0,0184;0,0441;0,9919;0,993
0,005000;-0,0214;0,0470;0,9943;0,996
0,012000;-0,0212;0,0495;0,9948;0,996
0,014000;-0,0208;0,0517;0,9971;0,999
0,028000;-0,0242;0,0468;0,9898;0,991
0,029000;-0,0216;0,0503;0,9842;0,986
0,029000;-0,0201;0,0514;0,9793;0,981
0,074000;-0,0182;0,0475;0,9803;0,982
0,075000;-0,0172;0,0458;0,9775;0,979
0,076000;-0,0129;0,0497;0,9857;0,987
0,076000;-0,0166;0,0552;0,9891;0,991
0,076000;-0,0190;0,0508;0,9969;0,998
0,077000;-0,0192;0,0444;0,9941;0,995
0,077000;-0,0181;0,0480;0,9957;0,997
0,077000;-0,0200;0,0485;0,9942;0,996
0,078000;-0,0214;0,0491;0,9870;0,988
0,079000;-0,0205;0,0510;0,9835;0,985
0,085000;-0,0236;0,0514;0,9836;0,985
0,092000;-0,0206;0,0506;0,9866;0,988
0,093000;-0,0188;0,0463;0,9910;0,992
0,097000;-0,0175;0,0473;0,9876;0,989
0,112000;-0,0156;0,0473;0,9934;0,995
0,112000;-0,0184;0,0457;0,9906;0,992
0,113000;-0,0188;0,0473;0,9885;0,990
0,120000;-0,0181;0,0436;0,9924;0,994
0,125000;-0,0201;0,0429;0,9926;0,994
0,128000;-0,0195;0,0432;0,9904;0,992
0,134000;-0,0186;0,0470;0,9868;0,988
0,158000;-0,0165;0,0438;0,9831;0,984
0,159000;-0,0182;0,0442;0,9831;0,984
0,159000;-0,0161;0,0419;0,9857;0,987
0,160000;-0,0179;0,0403;0,9901;0,991
0,160000;-0,0172;0,0419;0,9914;0,992
0,170000;-0,0186;0,0418;0,9940;0,995
0,171000;-0,0194;0,0386;0,9935;0,994
0,183000;-0,0177;0,0397;0,9858;0,987
0,184000;-0,0181;0,0357;0,9875;0,988
0,184000;-0,0201;0,0332;0,9835;0,984
0,187000;-0,0171;0,0304;0,9868;0,987
0,192000;-0,0155;0,0331;0,9851;0,986
0,197000;-0,0165;0,0322;0,9836;0,984
0,215000;-0,0153;0,0304;0,9906;0,991
0,216000;-0,0155;0,0310;0,9989;0,999
0,216000;-0,0190;0,0277;0,9959;0,996
0,216000;-0,0218;0,0273;0,9956;0,996
0,223000;-0,0234;0,0280;0,9921;0,993
0,229000;-0,0234;0,0264;0,9876;0,988
0,232000;-0,0215;0,0258;0,9821;0,983
0,252000;-0,0186;0,0282;0,9848;0,985
0,253000;-0,0190;0,0271;0,9832;0,984
0,253000;-0,0195;0,0238;0,9906;0,991
0,254000;-0,0195;0,0259;0,9914;0,992
0,263000;-0,0126;0,0247;0,9915;0,992
0,264000;-0,0138;0,0251;0,9910;0,991
0,266000;-0,0159;0,0264;0,9880;0,988
0,276000;-0,0160;0,0242;0,9852;0,986
0,277000;-0,0187;0,0249;0,9830;0,983
