time;ax;ay;az;aT
0,0050;0,0927;0,4670;0,4294;0,641
0,0060;0,0553;0,4684;0,4211;0,632
0,0060;0,0243;0,4107;0,3819;0,561
0,0170;-0,0175;0,3609;0,3437;0,499
0,0170;-0,0245;0,3192;0,2730;0,421
0,0180;-0,0294;0,2879;0,1686;0,335
0,0360;-0,0573;0,2038;0,0982;0,233
0,0370;-0,0114;0,1879;-0,0008;0,188
0,0370;0,0065;0,1399;-0,1322;0,193
0,0380;0,0239;0,1040;-0,1586;0,191
0,0430;0,0610;-0,0105;-0,1845;0,195
0,0560;0,0916;-0,0362;-0,1846;0,209
0,0570;0,1336;-0,0401;-0,2259;0,265
0,0580;0,1560;-0,0594;-0,2618;0,310
0,1060;0,1230;-0,0939;-0,2574;0,300
0,1070;0,1018;-0,1043;-0,2944;0,328
0,1080;0,0791;-0,1299;-0,3007;0,337
0,1080;0,0933;-0,1851;-0,2251;0,306
0,1080;0,0951;-0,1864;-0,1907;0,283
0,1090;0,1202;-0,2186;-0,1102;0,273
0,1090;0,1254;-0,2423;-0,1423;0,308
0,1100;0,1300;-0,2469;-0,1565;0,320
0,1100;0,0835;-0,2384;-0,1146;0,277
0,1100;0,0888;-0,2335;-0,1218;0,278
0,1110;0,0549;-0,1738;-0,1123;0,214
0,1180;0,0774;-0,0975;-0,1290;0,179
0,1200;0,0879;-0,0072;-0,1442;0,169
0,1260;0,1071;-0,0440;-0,1113;0,161
0,1300;0,1170;-0,0368;-0,1198;0,171
0,1350;0,1216;0,0263;-0,2006;0,236
0,1490;0,1065;0,0853;-0,2269;0,265
0,1500;0,0636;0,1606;-0,2140;0,275
0,1500;0,0468;0,2139;-0,2053;0,300
0,1580;0,0437;0,1782;-0,1922;0,266
0,1660;0,0200;0,2307;-0,2046;0,309
0,1660;0,0522;0,2527;-0,2459;0,356
0,1700;0,0300;0,2408;-0,3306;0,410
0,1940;-0,0057;0,2285;-0,3820;0,445
0,1940;-0,0191;0,2613;-0,4220;0,497
0,1950;-0,0354;0,3034;-0,5093;0,594
0,1960;0,0005;0,3057;-0,6082;0,681
0,1970;0,0744;0,3500;-0,7237;0,807
