time;gFx;gFy;gFz;TgF
0,619000;-0,0182;0,0534;0,9870;0,989
0,624000;-0,0162;0,0541;0,9854;0,987
0,629000;-0,0134;0,0499;0,9875;0,989
0,643000;-0,0177;0,0506;0,9882;0,990
0,644000;-0,0192;0,0514;0,9876;0,989
0,645000;-0,0181;0,0509;0,9961;0,998
0,651000;-0,0200;0,0495;0,9931;0,995
0,656000;-0,0200;0,0510;0,9935;0,995
0,659000;-0,0195;0,0543;0,9930;0,995
0,666000;-0,0184;0,0529;0,9918;0,993
0,669000;-0,0150;0,0529;0,9843;0,986
0,674000;-0,0160;0,0496;0,9837;0,985
0,679000;-0,0137;0,0474;0,9830;0,984
0,685000;-0,0184;0,0485;0,9810;0,982
0,689000;-0,0186;0,0487;0,9873;0,989
0,694000;-0,0177;0,0465;0,9907;0,992
0,700000;-0,0190;0,0422;0,9961;0,997
0,704000;-0,0210;0,0448;0,9959;0,997
0,709000;-0,0199;0,0470;0,9902;0,992
0,714000;-0,0178;0,0452;0,9851;0,986
0,719000;-0,0184;0,0459;0,9787;0,980
0,724000;-0,0190;0,0457;0,9787;0,980
0,728000;-0,0175;0,0458;0,9811;0,982
0,743000;-0,0117;0,0411;0,9838;0,985
0,744000;-0,0156;0,0424;0,9863;0,987
0,745000;-0,0153;0,0446;0,9921;0,993
0,750000;-0,0167;0,0410;0,9953;0,996
0,754000;-0,0166;0,0399;0,9940;0,995
0,758000;-0,0183;0,0379;0,9914;0,992
0,764000;-0,0193;0,0409;0,9887;0,990
0,768000;-0,0192;0,0371;0,9851;0,986
0,774000;-0,0159;0,0410;0,9847;0,986
0,779000;-0,0168;0,0398;0,9819;0,983
0,784000;-0,0182;0,0366;0,9802;0,981
0,788000;-0,0148;0,0414;0,9866;0,988
0,794000;-0,0155;0,0382;0,9965;0,997
0,799000;-0,0149;0,0375;0,9998;1,001
0,803000;-0,0145;0,0335;0,9969;0,998
0,808000;-0,0179;0,0357;0,9910;0,992
0,813000;-0,0203;0,0322;0,9918;0,993
0,818000;-0,0198;0,0317;0,9877;0,988
0,823000;-0,0212;0,0353;0,9863;0,987
0,828000;-0,0173;0,0354;0,9840;0,985
0,843000;-0,0162;0,0370;0,9827;0,984
0,844000;-0,0154;0,0385;0,9818;0,983
0,844000;-0,0170;0,0377;0,9846;0,985
0,850000;-0,0145;0,0392;0,9901;0,991
0,853000;-0,0155;0,0381;0,9953;0,996
0,858000;-0,0200;0,0365;0,9931;0,994
0,863000;-0,0178;0,0364;0,9919;0,993
0,868000;-0,0203;0,0348;0,9921;0,993
0,872000;-0,0181;0,0352;0,9844;0,985
0,877000;-0,0192;0,0368;0,9840;0,985
0,884000;-0,0179;0,0369;0,9862;0,987
0,887000;-0,0183;0,0377;0,9887;0,990
0,892000;-0,0177;0,0381;0,9913;0,992
0,897000;-0,0166;0,0399;0,9969;0,998
0,903000;-0,0151;0,0403;0,9898;0,991
0,907000;-0,0192;0,0377;0,9870;0,988
0,912000;-0,0172;0,0390;0,9874;0,988
0,926000;-0,0143;0,0419;0,9830;0,984
0,928000;-0,0188;0,0402;0,9866;0,988
0,928000;-0,0188;0,0399;0,9888;0,990
0,941000;-0,0166;0,0402;0,9862;0,987
0,943000;-0,0193;0,0411;0,9840;0,985
0,943000;-0,0160;0,0381;0,9918;0,993
0,947000;-0,0132;0,0376;0,9936;0,994
0,953000;-0,0131;0,0393;0,9952;0,996
0,957000;-0,0194;0,0377;0,9942;0,995
0,962000;-0,0172;0,0396;0,9897;0,991
0,967000;-0,0190;0,0438;0,9926;0,994
0,974000;-0,0210;0,0436;0,9904;0,992
0,977000;-0,0200;0,0446;0,9844;0,986
0,984000;-0,0188;0,0419;0,9840;0,985
0,987000;-0,0178;0,0449;0,9844;0,986
0,992000;-0,0145;0,0449;0,9879;0,989
0,997000;-0,0166;0,0468;0,9873;0,989
1,002000;-0,0159;0,0405;0,9920;0,993
1,007000;-0,0181;0,0390;0,9910;0,992
1,011000;-0,0175;0,0410;0,9885;0,989
1,019000;-0,0197;0,0435;0,9888;0,990
1,022000;-0,0195;0,0404;0,9943;0,995
1,026000;-0,0183;0,0433;0,9918;0,993
1,044000;-0,0199;0,0433;0,9924;0,994
